"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
40,"Venom: Let There Be Carnage","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",97,"Action",6,49,189398,"Andy Serkis","Tom Hardy"
41,"Nobody","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",92,"Action",7.4,64,218678,"Ilya Naishuller","Bob Odenkirk"
42,"Bull","Bull mysteriously returns home after a 10 year absence to seek revenge on those who double crossed him all those years ago.",88,"Thriller            ",6.5,72,751,"Paul Andrew Williams","Adam Xander Angelides"
43,"F9","Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.",143,"Action",5.2,58,120555,"Justin Lin","Vin Diesel"
44,"Wrath of Man","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",119,"Action",7.1,57,156902,"Guy Ritchie","Jason Statham"
45,"Red Notice","An Interpol agent tracks the world's most wanted art thief.",118,"Action",6.3,37,250527,"Rawson Marshall Thurber","Dwayne Johnson"
46,"Pleasure","Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.",109,"Drama            ",6.3,74,8110,"Ninja Thyberg","Sofia Kappel"
47,"The Voyeurs","Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster.",116,"Drama",6,54,17646,"Michael Mohan","Sydney Sweeney"
48,"Old","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",108,"Drama",5.8,55,92518,"M. Night Shyamalan","Gael García Bernal"
49,"Cruella","A live-action prequel feature film following a young Cruella de Vil.",134,"Adventure",7.3,59,217641,"Craig Gillespie","Emma Stone"
50,"Cobalt Blue","When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.",112,"Drama",6.8,NA,888,"Sachin Kundalkar","Neelay Mehendale"
51,"Operation Mincemeat","During WWII, two intelligence officers use a corpse and false papers to outwit German troops.",128,"Drama",6.9,NA,354,"John Madden","Colin Firth"
52,"Red Rocket","Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back.",130,"Comedy",7.2,76,15954,"Sean Baker","Simon Rex"
53,"Black Widow","Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.",134,"Action",6.7,67,346497,"Cate Shortland","Scarlett Johansson"
54,"The Tragedy of Macbeth","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.",105,"Drama",7.1,87,29345,"Joel Coen","Denzel Washington"
55,"Eight for Silver","In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process.",111,"Fantasy",6.3,62,5035,"Sean Ellis","Boyd Holbrook"
56,"C'mon C'mon","When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.",109,"Drama            ",7.5,82,20057,"Mike Mills","Joaquin Phoenix"
57,"The Fallout","High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family, friends and view of the world are forever altered.",96,"Drama            ",7,84,11874,"Megan Park","Jenna Ortega"
58,"Resident Evil: Welcome to Raccoon City","Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",107,"Action",5.2,44,41076,"Johannes Roberts","Kaya Scodelario"
59,"Titane","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.",108,"Drama",6.6,75,37085,"Julia Ducournau","Vincent Lindon"
60,"The Black Phone","After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",102,"Horror            ",7.6,79,663,"Scott Derrickson","Ethan Hawke"
61,"Madres paralelas","The story of two mothers who bond in unexpected way after giving birth the same day.",123,"Drama            ",7.1,88,22055,"Pedro Almodóvar","Penélope Cruz"
62,"The Mitchells vs the Machines","A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",113,"Animation",7.7,81,98782,"Michael Rianda","Abbi Jacobson"
63,"Being the Ricardos","Follows Lucy and Desi as they face a crisis that could end their careers and another that could end their marriage.",131,"Biography",6.5,60,37594,"Aaron Sorkin","Nicole Kidman"
64,"Pig","A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.",92,"Drama",6.9,82,61744,"Michael Sarnoski","Nicolas Cage"
65,"Army of Thieves","A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",127,"Action",6.4,49,69541,"Matthias Schweighöfer","Matthias Schweighöfer"
66,"The Protégé","Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",109,"Action",6.1,48,27355,"Martin Campbell","Michael Keaton"
67,"Antlers","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.",99,"Drama",5.9,57,31150,"Scott Cooper","Keri Russell"
68,"Army of the Dead","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",148,"Action",5.7,57,165663,"Zack Snyder","Dave Bautista"
69,"Hitman's Wife's Bodyguard","The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.",100,"Action",6.1,32,81525,"Patrick Hughes","Ryan Reynolds"
70,"Halloween Kills","Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror after they discover that he is still alive.",105,"Horror",5.6,42,70007,"David Gordon Green","Jamie Lee Curtis"
71,"One Shot","An elite squad of Navy SEAL's, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",96,"Action",5.6,39,3361,"James Nunn","Scott Adkins"
72,"The Guilty","A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.",90,"Crime",6.3,63,111344,"Antoine Fuqua","Jake Gyllenhaal"
73,"Skyggen i mit øje","The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children.",107,"Drama",7.3,NA,7132,"Ole Bornedal","Alex Høgh Andersen"
74,"The Little Things","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",128,"Crime",6.3,54,92682,"John Lee Hancock","Denzel Washington"
75,"Malignant","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",111,"Crime",6.2,51,79895,"James Wan","Annabelle Wallis"
76,"Luca","On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",95,"Animation",7.5,71,146750,"Enrico Casarosa","Jacob Tremblay"
77,"Benedetta","A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.",131,"Biography",6.8,73,14412,"Paul Verhoeven","Virginie Efira"
78,"Raya and the Last Dragon","In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",107,"Animation",7.3,75,140573,"Don Hall","Kelly Marie Tran"
79,"Jungle Cruise","Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.",127,"Action",6.6,50,174494,"Jaume Collet-Serra","Dwayne Johnson"
80,"The Unforgivable","A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.",112,"Crime",7.1,41,100114,"Nora Fingscheidt","Sandra Bullock"
81,"Infinite","A man discovers that his hallucinations are actually visions from past lives.",106,"Action",5.4,28,44456,"Antoine Fuqua","Mark Wahlberg"
82,"83","On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",162,"Biography",7.7,NA,30362,"Kabir Khan","Ranveer Singh"
83,"The Tender Bar","A boy growing up on Long Island seeks out father figures among the patrons at his uncle's bar.",106,"Drama            ",6.7,53,23628,"George Clooney","Ben Affleck"
84,"The Tomorrow War","A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.",138,"Action",6.6,45,193573,"Chris McKay","Chris Pratt"
85,"Don't Breathe 2","The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom (Stephen Lang) lives in quiet solace until his past sins catch up to him.",98,"Action",6,46,47394,"Rodo Sayagues","Stephen Lang"
86,"Pinocchio: A True Story","Young Pinocchio runs away from his genius creator Jepetto accompanied by the horse Tibalt to see the world and joins the traveling circus run by hustler Modjafocco.",94,"Animation",4.8,NA,854,"Vasiliy Rovenskiy","Pauly Shore"
87,"Jeepers Creepers: Reborn","Forced to travel with her boyfriend, Laine, she begins to experience premonitions associated with the urban myth of The Creeper. Laine believes that something supernatural has been summoned - and that she is at the center of it all.",88,"Horror",6.5,NA,130,"Timo Vuorensola","Sydney Craven"
88,"Godzilla vs. Kong","The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.",113,"Action",6.3,59,195723,"Adam Wingard","Alexander Skarsgård"
89,"È stata la mano di Dio","In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker.",130,"Drama            ",7.4,76,36743,"Paolo Sorrentino","Filippo Scotti"
90,"Gunpowder Milkshake","Three generations of women fight back against those who could take everything from them.",114,"Action",6,47,39796,"Navot Papushado","Karen Gillan"
91,"Munich: The Edge of War","A British diplomat travels to Munich in the run-up to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.",130,"Biography",6.8,53,25475,"Christian Schwochow","George MacKay"
92,"In the Heights","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life.",143,"Drama",7.3,84,44274,"Jon M. Chu","Anthony Ramos"
93,"Lamb","A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.",106,"Drama",6.3,68,20962,"Valdimar Jóhannsson","Noomi Rapace"
94,"Ku bei","A young couple trying to reunite amid a city ravaged by a plague that turns its victims into deranged, bloodthirsty sadists.",99,"Horror            ",6.5,NA,1706,"Rob Jabbaz","Ying-Ru Chen"
95,"The Harder They Fall","When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge.",139,"Action",6.6,68,56555,"Jeymes Samuel","Jonathan Majors"
96,"Nitram","Events leading up to the 1996 Port Arthur massacre on Tasmania in an attempt to understand why and how the atrocity occurred.",112,"Drama",7.2,82,4342,"Justin Kurzel","Caleb Landry Jones"
97,"You Are Not My Mother","In a North Dublin housing estate Char's mother goes missing. When she returns Char is determined to uncover the truth of her disappearance and unearth the dark secrets of her family.",93,"Drama",5.7,74,1118,"Kate Dolan","Hazel Doupe"
98,"Reminiscence","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",116,"Mystery",5.8,46,49941,"Lisa Joy","Hugh Jackman"
99,"Finch","On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.",115,"Adventure",6.9,57,74214,"Miguel Sapochnik","Tom Hanks"
100,"Dear Evan Hansen","Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high school senior with Social Anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate.",137,"Drama",6.1,39,11096,"Stephen Chbosky","Ben Platt"
